2023-05-15 11:05:261 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-15 11:05:35 INFO  TopMenu :40 - Select from [[[ChromeDriver: chrome on WINDOWS (1475d562d371fe556636754e14ea46df)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (1475d562d371fe556636754e14ea46df)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (1475d562d371fe556636754e14ea46df)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (1475d562d371fe556636754e14ea46df)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (1475d562d371fe556636754e14ea46df)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (1475d562d371fe556636754e14ea46df)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (1475d562d371fe556636754e14ea46df)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (1475d562d371fe556636754e14ea46df)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (1475d562d371fe556636754e14ea46df)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (1475d562d371fe556636754e14ea46df)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (1475d562d371fe556636754e14ea46df)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (1475d562d371fe556636754e14ea46df)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (1475d562d371fe556636754e14ea46df)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (1475d562d371fe556636754e14ea46df)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (1475d562d371fe556636754e14ea46df)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (1475d562d371fe556636754e14ea46df)] -> xpath: //ul[@class='top-menu notmobile']//a]]
2023-05-15 11:05:172 INFO  TopMenu :43 - Get text [[ChromeDriver: chrome on WINDOWS (1475d562d371fe556636754e14ea46df)] -> xpath: //h1]
2023-05-15 11:05:558 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-15 11:05:699 INFO  TopMenu :40 - Select from [[[ChromeDriver: chrome on WINDOWS (ecb5b7af471760bce6d11d2d2e5d9d6a)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (ecb5b7af471760bce6d11d2d2e5d9d6a)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (ecb5b7af471760bce6d11d2d2e5d9d6a)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (ecb5b7af471760bce6d11d2d2e5d9d6a)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (ecb5b7af471760bce6d11d2d2e5d9d6a)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (ecb5b7af471760bce6d11d2d2e5d9d6a)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (ecb5b7af471760bce6d11d2d2e5d9d6a)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (ecb5b7af471760bce6d11d2d2e5d9d6a)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (ecb5b7af471760bce6d11d2d2e5d9d6a)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (ecb5b7af471760bce6d11d2d2e5d9d6a)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (ecb5b7af471760bce6d11d2d2e5d9d6a)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (ecb5b7af471760bce6d11d2d2e5d9d6a)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (ecb5b7af471760bce6d11d2d2e5d9d6a)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (ecb5b7af471760bce6d11d2d2e5d9d6a)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (ecb5b7af471760bce6d11d2d2e5d9d6a)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (ecb5b7af471760bce6d11d2d2e5d9d6a)] -> xpath: //ul[@class='top-menu notmobile']//a]]
2023-05-15 11:05:732 INFO  TopMenu :43 - Get text [[ChromeDriver: chrome on WINDOWS (ecb5b7af471760bce6d11d2d2e5d9d6a)] -> xpath: //h1]
2023-05-15 12:05:398 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-15 12:05:362 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-15 12:05:403 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-15 12:05:512 INFO  TopMenu :40 - Select from [[[ChromeDriver: chrome on WINDOWS (a09069ba1f407e78b0223d040ec9d397)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (a09069ba1f407e78b0223d040ec9d397)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (a09069ba1f407e78b0223d040ec9d397)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (a09069ba1f407e78b0223d040ec9d397)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (a09069ba1f407e78b0223d040ec9d397)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (a09069ba1f407e78b0223d040ec9d397)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (a09069ba1f407e78b0223d040ec9d397)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (a09069ba1f407e78b0223d040ec9d397)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (a09069ba1f407e78b0223d040ec9d397)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (a09069ba1f407e78b0223d040ec9d397)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (a09069ba1f407e78b0223d040ec9d397)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (a09069ba1f407e78b0223d040ec9d397)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (a09069ba1f407e78b0223d040ec9d397)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (a09069ba1f407e78b0223d040ec9d397)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (a09069ba1f407e78b0223d040ec9d397)] -> xpath: //ul[@class='top-menu notmobile']//a], [[ChromeDriver: chrome on WINDOWS (a09069ba1f407e78b0223d040ec9d397)] -> xpath: //ul[@class='top-menu notmobile']//a]]
2023-05-15 12:05:584 INFO  TopMenu :43 - Get text [[ChromeDriver: chrome on WINDOWS (a09069ba1f407e78b0223d040ec9d397)] -> xpath: //h1]
